rank,feature_name,roi,roi_annotation_guide,feature_category,feature_type,measurement_method,measurement_unit,confidence_score,predictive_score,prognostic_score,evidence_level,evidence_basis,drug_relevance,pubmed_hits,moa_class,supporting_sources,hypothesis
6,Stromal Vascular Density,stroma,"Annotate all stromal regions within the tumor area, excluding tumor nests and necrotic areas.",cell_density,predictive,"Identify and count all distinct vascular structures (endothelial-lined lumens) within the annotated stromal regions. Divide the total count by the total stromal area. Additionally, assess vessel tortuosity qualitatively (e.g., score 0-3) or quantitatively (e.g., fractal dimension).",vessels/mm²,95.0,100.0,90.0,B,direct,"Belzutifan inhibits HIF-2alpha, which drives VEGF expression. Reduced VEGF leads to decreased angiogenesis and vessel normalization, directly impacting stromal vascular density and morphology.",0,hypoxia,he_stromal_vessel_density,"Belzutifan, by inhibiting HIF-2alpha and thus reducing VEGF, is expected to decrease stromal vascular density and normalize vessel morphology. High baseline stromal vascular density with tortuous vessels may predict response, while a reduction post-treatment could indicate therapeutic efficacy."
5,Tumor Necrosis Fraction,whole_section,"Annotate all areas of tumor necrosis, characterized by ghost cells, karyorrhexis, and absence of viable tumor cells, within the entire tumor area.",cell_density,prognostic,Calculate the total area of tumor necrosis and divide it by the total viable tumor area (excluding stroma and normal tissue). Express as a percentage.,%,93.75,85.0,92.0,B,direct,"Tumor necrosis is a direct consequence of intratumoral hypoxia. Belzutifan, as a HIF-2alpha inhibitor, targets the hypoxia pathway, and its efficacy should reduce hypoxia and subsequent necrosis.",0,hypoxia,he_necrosis_fraction,"High tumor necrosis fraction reflects severe intratumoral hypoxia, a condition exacerbated by HIF-2alpha activity. Belzutifan's inhibition of HIF-2alpha is hypothesized to reduce intratumoral hypoxia, leading to a decrease in tumor necrosis fraction, which may serve as an early indicator of response"
7,TIL Exclusion Pattern Score,invasive_margin,"Annotate the invasive margin, defined as the interface between the tumor and the surrounding host stroma, and the adjacent peritumoral stroma.",immune_phenotype,predictive,"Qualitatively score the pattern of TIL infiltration at the invasive margin and peritumoral stroma (e.g., 0-3 scale). An 'excluded' pattern is characterized by TILs confined to the peritumoral stroma, separated from tumor nests by a dense stromal barrier, often associated with high VEGF.",score,93.75,100.0,70.0,B,direct,"VEGF, a downstream target of HIF-2alpha, contributes to stromal barriers that exclude TILs. Belzutifan's anti-VEGF effect should disrupt these barriers, promoting TIL infiltration.",0,hypoxia,he_tils_excluded_pattern,"The immune-excluded phenotype, driven in part by VEGF-mediated stromal barriers, predicts poor immune response. Belzutifan, by inhibiting HIF-2alpha and reducing VEGF, is expected to disrupt these stromal barriers, converting an excluded phenotype to an inflamed one, thereby improving TIL infiltrati"
3,Stromal Ratio,whole_section,Annotate all tumor-associated stromal areas and all tumor cell areas within the entire tumor section.,cell_density,prognostic,Calculate the total area of tumor-associated stroma and divide it by the total tumor area (stroma + tumor cells). Express as a percentage.,%,93.75,80.0,90.0,B,direct,"VEGF, a downstream target of HIF-2alpha, is known to drive desmoplastic stroma. Belzutifan's inhibition of HIF-2alpha should reduce stromal content.",0,hypoxia,he_stromal_ratio|he_tumor_stroma_ratio,"High stromal ratio, often driven by VEGF-induced desmoplasia in anti-angiogenic settings, is associated with poor prognosis. Belzutifan, by inhibiting HIF-2alpha and reducing VEGF, is hypothesized to decrease the stromal ratio, which could correlate with improved outcomes and serve as a predictive b"
5,Perivascular TIL Density,vascular,Annotate regions immediately surrounding tumor-associated blood vessels within the tumor microenvironment.,cell_density,predictive,"Identify and count lymphocytes (TILs) within a defined perivascular cuff (e.g., 50-micron radius) around tumor-associated vessels. Divide the total count by the total perivascular area.",cells/mm²,93.75,85.0,90.0,C,direct,"Belzutifan's anti-angiogenic effect (via HIF-2alpha inhibition) normalizes tumor vessels, which is known to enhance T cell extravasation and accumulation in perivascular regions.",0,hypoxia,he_perivascular_til_density,"Belzutifan's anti-angiogenic effect is expected to normalize tumor vasculature, facilitating T cell extravasation. Increased perivascular TIL density, reflecting enhanced T cell trafficking to the tumor via normalized vessels, is hypothesized to predict response to belzutifan."
4,Tumor-Associated Macrophage Density,whole_section,"Annotate all tumor-associated macrophages (large cells with abundant cytoplasm, often kidney-shaped nuclei) within both tumor nests and associated stroma.",cell_density,both,Count all tumor-associated macrophages within the total tumor area (tumor nests + stroma). Divide the total count by the total tumor area.,cells/mm²,93.75,100.0,90.0,B,analogical,"[By analogy from hypoxia] Hypoxia is a key driver of M2 macrophage polarization and accumulation. Belzutifan's inhibition of HIF-2alpha could reduce TAM density or shift their phenotype towards M1, impacting the immunosuppressive TME.",0,hypoxia,he_macrophage_density,"[By analogy from hypoxia] High tumor-associated macrophage (TAM) density, particularly M2-polarized macrophages, is often promoted by hypoxic conditions. Belzutifan, by inhibiting HIF-2alpha and alleviating hypoxia, is hypothesized to reduce TAM density or alter their phenotype, thereby reducing imm"
7,Stromal TIL Score,stroma,"Annotate all stromal regions within the tumor area, excluding tumor nests and necrotic areas.",til_score,both,Count all lymphocytes (TILs) within the annotated stromal regions. Divide the total count by the total stromal area.,cells/mm²,93.75,100.0,78.0,A,analogical,"[By analogy from anti-angiogenic therapies] Belzutifan's anti-angiogenic effects (reduced VEGF, vessel normalization, disruption of stromal barriers) are expected to improve T cell infiltration into the tumor stroma.",0,hypoxia,he_stromal_til,"[By analogy from anti-angiogenic therapies] Belzutifan's inhibition of HIF-2alpha is expected to normalize tumor vasculature and reduce stromal barriers, thereby facilitating T cell infiltration into the tumor stroma. A higher stromal TIL score, reflecting an enhanced immune presence, is hypothesize"
8,Intratumoral TIL Density,intraepithelial,"Annotate all tumor cell nests, excluding associated stroma and necrotic areas.",til_score,both,Count all lymphocytes (TILs) within the annotated tumor cell nests. Divide the total count by the total tumor nest area.,cells/mm²,93.75,100.0,75.0,B,analogical,[By analogy from anti-angiogenic therapies] Improved vessel function and reduced stromal exclusion due to HIF-2alpha inhibition should lead to increased T cell infiltration into tumor nests.,0,hypoxia,he_intratumoral_til,"[By analogy from anti-angiogenic therapies] Belzutifan's mechanism of action, involving vessel normalization and reduction of stromal barriers, is expected to enhance the ability of T cells to infiltrate tumor nests. A higher intratumoral TIL density is hypothesized to be associated with a more effe"
1,Tumor-Stroma Ratio (TSR),whole_section,Assess the hotspot area with the highest stromal proportion relative to tumor cells; select a representative 1–2 mm² field in the invasive front or core with highest stroma-to-tumor ratio.,composite,prognostic,"In QuPath or manually on H&E, estimate the proportion of stroma (fibrous connective tissue + non-immune cells) vs viable tumor cells in a representative field. TSR = stroma area / (stroma + tumor area). Classify as stroma-low (<50%) vs stroma-high (≥50%).",ratio (0–1) or categorical,100.0,0.0,100.0,A,direct,General H&E prognostic/predictive feature,0,hypoxia,he_tumor_stroma_ratio,Evidence-based H&E feature (composite) relevant for General H&E prognostic/predictive feature.
2,Tumor Cell Density,whole_section,,cell_density,prognostic,Count of tumor cells per unit area (cells/mm²) within the annotated tumor region,cells/mm²,93.75,0.0,90.0,B,direct,General H&E prognostic/predictive feature,0,hypoxia,he_tumor_cell_density,Evidence-based H&E feature (cell_density) relevant for General H&E prognostic/predictive feature.
